SCHLUESSEL,BERUFINT
19496,Segeltuchnäher/in
19497,Textilkleber/in
19498,Technische/r Konfektionär/in
19499,Zeltmacher/in
19500,Zeltebauer/in
19501,Zeltmonteur/in
19502,Zeltesattler/in
19503,Zeltkonfektionär/in
19504,Kleber/in (technische Textilien)
19505,Kleber/in (Technische Konfektion)
19506,Planennäher/in
19507,Plastiknäher/in
19508,Planenkonfektionär/in
19509,Konfektionär/in - Technische Konfektion
19510,Polster- und Dekorationsnäher/in
19511,Sonnenschirmmacher/in
19512,Jutetaschenmacher/in
19513,Kunststoffkonfektionär/in
19514,Kunststoff- und Schwergewebekonfektionär/in
19515,Fahrzeuginnenausstatter/in
19516,Fassonpolsterer/-polsterin
19517,Fahrzeugpolsterer/-polsterin
19518,Facharbeiter/in - Polstertechnik (Möbel)
19519,Fahrzeugtapezierer/in (Fahrzeugsattler/in)
19520,Facharbeiter/in - Polstertechnik (Fahrzeuge)
19521,Facharbeiter/in - Polstertechnik (Matratzen)
19522,Karosserieausstatter/in
19523,Matratzenhersteller/in
19524,Wagentapezierer/in
19525,Wagenpolsterer/-polsterin
19526,Schablonenmacher/in (Polstermöbelindustrie)
19527,Bezieher/in (Polsterer/-in)
19528,Bezieher/in (Schaumstoffauskleider/in)
19529,Ledermöbelpolsterer/-polsterin
19530,Reparaturpolsterer/-polsterin
19531,Sesselmacher/in (Möbelpolsterei)
19532,Teppichnäher/in
19533,Textilmatratzenhersteller/in
19534,Verdeckabdichter/in
19535,Verdeckhersteller/in
19536,Innendekorationsnäher/in
19537,Industriepolsterer/-polsterin
19538,Modellpolsterer/-polsterin
19539,Polsterfachkraft
19540,Polsterbezieher/in
19541,Polsterer/Polsterin
19542,Polsterzuschneider/in
19543,Polstermöbelrenovierer/in
19544,Polsterfertigmontierer/in
19545,Polstermöbelrestaurierer/in
19546,Vorpolsterer/-polsterin (Polstermöbelindustrie)
19547,Stuhlpolsterer/-polsterin
19548,Stoffmöbelpolsterer/-polsterin
19549,Autopolsterer/-polsterin
19550,Näher/in (Polster und Dekoration)
19551,Möbeldekorateur/in
19552,Möbelpolsterer/-polsterin
19553,Damenmaßschneidermeister/in
19554,Damen- und Herrenschneidermeister/in
19555,Fahrzeugpolstermeister/in
19556,Handwerksmeister/in - Schneiderei
19557,Handwerksmeister/in - Segelmacherei
19558,Handwerksmeister/in - Modistenhandwerk
19559,Handwerksmeister/in - Damen- und Herrenschneiderei
19560,Maßschneidermeister/in
19561,Schneidermeister/in
19562,Schirmmachermeister/in
19563,Herrenmaßschneidermeister/in
19564,Lederbekleidungsschneidermeister/in
19565,Meister/in - Strickerei
19566,Meister/in - Maßschneiderei
19567,Meister/in - Polstererhandwerk
19568,Meister/in - Bekleidungstechnik
19569,Meister/in - Fahrzeugpolsterung
19570,Meister/in - Modistinnenhandwerk
19571,Meister/in - Segelmacherhandwerk
19572,Meister/in - Polsterei/Polstermöbel
19573,Meister/in - Polstermöbelherstellung
19574,Meister/in - Fahrzeuginnenausstattung
19575,Meister/in - Damen- und Herrenschneiderhandwerk
19576,Segelmachermeister/in
19577,Miederschneidermeister/in
19578,Industriemeister/in - Bekleidung
19579,Industriemeister/in - Polstermöbel
19580,Industriemeister/in - Fahrzeugpolsterung
19581,Industriemeister/in - Technische Konfektion
19582,Industriemeister/in - Polsterei/Polstermöbel
19583,Industriemeister/in - Fahrzeuginnenausstattung
19584,Modistmeister/in
19585,Modistenmeister/in
19586,Polsterermeister/in
19587,Polsterermeister/in - industrielle Fahrzeugpolster
19588,Hutmachermeister/in
19589,Hut- und Mützenmachermeister/in
19590,Putzmachermeister/in
19591,Wäscheschneidermeister/in
19592,Möbelpolsterermeister/in
19593,Mützenmachermeister/in
19594,Leiter/in - Polsterei und Montage
19595,Änderungs-Werkstattleiter/in (Bekleidung)
19596,Atelierleiter/in - Bekleidung
19597,Zuschnittleiter/in (Schneiderei)
19598,Nähsaalleiter/in
19599,Bandagistenhelfer/in
19600,Handschuhmacherhelfer/in
19601,Sattlerhelfer/in
19602,Sattler-
19603,Absatzkleber/in
19604,Absatzsetzer/in
