Personal-Nr,ABCStatus,Status,Beruf,Einstellungsberuf,Berufschl,Qualifiaktion,Profil
62085,A,1,,,1,166,
62085,A,1,,,1,177,
62085,A,1,,,1,118,
62085,A,1,,,1,172,
62085,A,1,,,1,157,
17325,I,1,,,1,740,
17325,I,1,,,1,741,
62513,I,1,,,1,715,
61888,I,1,,,1,740,
61888,I,1,,,1,741,
61787,C,2,23785,Lagerhelfer/in,1,113,
61787,C,2,23785,Lagerhelfer/in,1,169,
62277,A,1,,,1,113,
62277,A,1,,,1,169,
61862,T,1,,,1,713,
62371,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,800,
62371,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,169,
61423,I,1,,,1,740,
61952,A,1,,,1,800,
61952,A,1,,,1,118,
61952,A,1,,,1,169,
62287,I,1,,,1,731,
62287,I,1,,,1,732,
61997,I,1,,,1,760,
61596,T,1,,,1,702,
61596,T,1,,,1,172,
61596,T,1,,,1,155,
61596,T,1,,,1,156,
61596,T,1,,,1,168,
61596,T,1,,,1,178,
62508,A,1,,,1,113,
62508,A,1,,,1,182,
62508,A,1,,,1,183,
62508,A,1,,,1,156,
62435,A,1,,,1,169,
61684,I,1,,,1,742,
61684,I,1,,,1,713,
61919,A,1,,,1,800,
61919,A,1,,,1,151,
61919,A,1,,,1,132,
61919,A,1,,,1,133,
61919,A,1,,,1,105,
61919,A,1,,,1,155,
61919,A,1,,,1,147,
61919,A,1,,,1,177,
61919,A,1,,,1,118,
61919,A,1,,,1,148,
61384,T,1,,,1,730,
62101,T,1,,,1,714,
61504,T,1,,,1,712,
62368,,2,10007,Produktionshelfer/in - Metall,1,113,
62368,,2,10007,Produktionshelfer/in - Metall,1,155,
61767,T,1,,,1,703,
60044,I,1,,,1,114,
60044,I,1,,,1,714,
60044,I,1,,,1,157,
60044,I,1,,,1,118,
18946,C,1,,,1,155,
18946,C,1,,,1,117,
61517,T,1,,,1,160,
61517,T,1,,,1,702,
61517,T,1,,,1,172,
61517,T,1,,,1,123,
61517,T,1,,,1,174,
61517,T,1,,,1,155,
61517,T,1,,,1,156,
61517,T,1,,,1,157,
61517,T,1,,,1,168,
61992,A,1,,,1,113,
61992,A,1,,,1,157,
61863,I,1,,,1,714,
61863,I,1,,,1,118,
61863,I,1,,,1,119,
61863,I,1,,,1,715,
62473,,1,,,1,715,
62356,T,1,,,1,705,
61724,T,1,,,1,703,
61724,T,1,,,1,705,
62121,T,1,,,1,731,
61881,A,1,,,1,714,
61881,A,1,,,1,173,
61881,A,1,,,1,715,
61881,A,1,,,1,157,
61881,A,1,,,1,118,
61881,A,1,,,1,178,
62055,A,1,,,1,800,
62055,A,1,,,1,156,
62056,A,1,,,1,156,
62056,A,1,,,1,166,
61842,I,1,,,1,760,
61742,I,1,,,1,731,
62458,A,2,10007,Produktionshelfer/in - Metall,1,169,
61826,I,1,,,1,740,
61826,I,1,,,1,741,
61826,I,1,,,1,703,
61372,T,1,,,1,711,
