SCHLUESSEL,BERUFINT,BERUFVERZ,RO,BESCHARTA,BESCHARTB,ENTSENDEG,BLTAETIGKEIT,TRFIELD,REPL_ID,REPL_DATABASE,IENTGELTGRUPPE,SSICHTBARINMAND,CSELEKTIONSKENNZEICHEN,IWEBPORTAL,SWEBPORTALTEXT,AUSGTAETIGKEITSSCHLUESSEL,AKTIV,WARNUNGMINDESTLOHN,HOCHSCHULBERUF,VORRAUSSETZUNG,LFDNRAUSGTAETIGKEIT,SWEBPORTALTEXT2,CFREMDSCHLUESSEL,AUTO_UEBERNAHME_PERSONAL,PROSOFT_RECRUITING_SOURCE_ID,DKZ_ID
102,Kunststoff - Formgeber/in,Kunststoff-Formgeber/in,N,151,,,,,30862,1604123803,,,,,,22102,1,,,,2051,,,1,,35071
104,Galvanotechniker/in,Galvaniktechniker/in,N,234,,,,,30863,1604123803,,,,,,24303,1,,,,4987,,,1,,113670
115,Techniker/in - Elektrotechnik,Elektrotechniker/in,N,622,,,,,30864,1604123803,,,,,,26303,1,,,,7275,,,1,,103354
106,Wirtschaftsingenieur/in,Wirtschaftsingenieur/in,N,607,,,,,30865,1604123803,,,,,,27304,1,,,,8424,,,1,,58785
103,Feinwerkmechaniker/in,Feinwerkmechaniker/in,N,284,,,,,30866,1604123803,,,,,,24512,1,,,,5420,,,1,,15170
105,Oberflächenbeschichter/in,Oberflächenbeschichter/in,N,234,,,,,30867,1604123803,,,,,,24302,1,,,,4950,,,1,,34977
116,Stahlformenbauer/in,Stahlformenbauer/in,N,291,,,,,30868,1604123803,,,,,,24522,1,,,,5571,,,1,,35110
129,Metallbauer/in,Metallbauer/in,N,282,,,,,30869,1604123803,,,,,,24412,1,,,,5130,,,1,,58420
133,Metallbauer/in - Konstruktionstechnik,Metallbauer/in - Konstruktionstechnik,N,271,,,,,30870,1604123803,,,,,,24412,1,,,,5131,,,1,,14442
132,Metallbauhelfer/in,Metallbauerhelfer/in,N,282,,,,,30871,1604123803,,,,,,24411,1,,,,5052,,,1,,114750
134,Elektroinstallateur/in,Elektroinstallateur/in,N,311,,,,,30872,1604123803,,,,,,26212,1,,,,6808,,,1,,2728
137,Dienstwagenfahrer/in,Dienstwagenfahrer/in,N,714,,,,,30873,1604123803,,,,,,52112,1,,,,14458,,,1,,7164
135,Verfahrensmech/in - Kunststoff-/Kautschukt.,Verfahrensmechaniker/in - Kunststoff- und Kautschu,N,151,,,,,30874,1604123803,,,,,,22102,1,,,,2101,,,1,,119343
143,Energieanlagenelektroniker/in,Energieanlagenelektroniker/in,N,311,,,,,30875,1604123803,,,,,,26252,1,,,,7066,,,1,,108827
136,Mechatroniker/in,Mechatroniker/in,N,314,,,,,30876,1604123803,,,,,,26112,1,,,,6685,,,1,,2862
138,Verfahrensmech.-Kunststoff-/Kautschukt.-Formteile,Verfahrensmechaniker/in-Kunststoff-/Kautschuktechn,N,151,,,,,30877,1604123803,,,,,,22102,1,,,,2104,,,1,,1204
144,Ingenieur/in - Maschinenbau,Ingenieur/in - Maschinenbau,N,601,,,,,30878,1604123803,,,,,,25104,1,,,,5870,,,1,,58731
139, 	Verfahrensmech.-Kunststoff-/Kautschukt.-Bauteile,Verfahrensmechaniker/in-Kunststoff-/Kautschuktechn,N,151,,,,,30879,1604123803,,,,,,22102,1,,,,2102,,,1,,1207
145,Feinwerkmechaniker/in - Werkzeugbau,Feinwerkmechaniker/in - Werkzeugbau,N,284,,,,,30880,1604123803,,,,,,24522,1,,,,5506,,,1,,15171
146,Chemielaborant/in,Chemielaborant/in,N,633,,,,,30881,1604123803,,,,,,41322,1,,,,12689,,,1,,14386
147,Qualitätsmanager/in,Qualitätsmanager/in,N,751,,,,,30882,1604123803,,,,,,27394,1,,,,8609,,,1,,100531
14553,Zerspanungsmechaniker/in - Schleifmaschinen,Zerspanungsmechaniker/in - Schleifmaschinen,N,,,,,,30883,1604123803,,,,,,24222,1,,,,4593,,,1,,28990
14554,Zerspanungsfacharbeiter/in - Schleifmaschinen,Zerspanungsfacharbeiter/in - Schleifmaschinen,N,,,,,,30884,1604123803,,,,,,24222,1,,,,4592,,,1,,34912
14617,CNC-Dreher/in,CNC-Dreher/in,N,226,,,,,30885,1604123803,,,,,,24232,1,,,,4624,,,1,,1795
14618,CNC-Fräser/in,CNC-Fräser/in,N,226,,,,,30886,1604123803,,,,,,24232,1,,,,4625,,,1,,1832
14620,CNC-Mechaniker/in,CNC-Mechaniker/in,N,226,,,,,30887,1604123803,,,,,,24232,1,,,,4627,,,1,,109282
14636,Matrizendreher/in,Matrizendreher/in,,,,,,,30888,1604123803,,,,,,24232,1,,,,,,,1,,
14637,Maschinendreher/in,Maschinendreher/in,,,,,,,30889,1604123803,,,,,,24232,1,,,,,,,1,,
14638,Maschinenfräser/in,Maschinenfräser/in,,,,,,,30890,1604123803,,,,,,24232,1,,,,,,,1,,
14650,Zahnradstoßer/in,Zahnradstoßer/in,,,,,,,30891,1604123803,,,,,,24232,1,,,,,,,1,,
14710,Zerspanungsmechaniker/in,Zerspanungsmechaniker/in,N,,,,,,30892,1604123803,,,,,,24232,1,,,,4795,,,1,,29054
